ques,skill
4334,52
7911,106
10354,2
6326,12
8062,46
6446,77
6169,28
8598,26
15463,68
819,58
6583,82
14186,90
6756,10
9896,63
11176,46
13289,67
5565,35
11948,74
7196,16
6148,90
8913,37
12504,26
12443,16
5643,103
3406,83
4641,64
10646,2
11680,30
9847,63
6490,12
7409,16
12381,77
7147,16
342,25
13105,108
8628,26
14359,102
15097,68
14156,39
5620,92
1379,21
2029,103
3077,29
6613,82
12793,21
9926,63
6731,74
8866,83
9348,86
9086,86
3360,88
7226,16
3549,24
5192,59
7360,16
11835,25
3739,84
7860,73
6631,72
10838,64
9341,83
14107,39
7448,65
6825,86
1154,24
7145,64
15521,22
7043,16
12351,26
13545,6
7177,16
12485,26
9376,40
8283,112
9458,79
12168,90
13899,9
5597,0
3107,29
4549,74
5624,103
6684,83
6904,86
7355,22
11615,106
12066,42
13640,14
13707,26
10527,64
1105,24
272,23
4460,2
5902,47
2841,58
9250,86
6738,90
12564,26
10282,4
12739,27
7128,16
13758,6
194,103
1839,19
3623,30
4019,30
3958,20
6594,82
8848,42
1561,11
11043,65
4398,63
5955,95
8104,2
8591,120
2920,58
10303,26
15509,25
8563,58
11,103
11802,90
1439,21
2473,12
5539,116
5654,103
7781,22
13452,84
1001,24
6369,85
1135,24
5395,108
6806,86
10631,13
1897,81
2609,58
7158,16
6110,90
1869,19
9197,51
14370,102
7061,83
6665,83
7336,22
6885,86
3805,84
7019,86
8194,53
952,24
1945,14
4689,67
10333,26
11131,6
3868,103
12228,90
2324,10
175,103
4638,21
9550,31
13220,84
7998,77
2227,77
3944,98
6836,86
13715,26
7290,27
11082,6
12799,27
14210,5
4094,42
13354,20
15252,116
8789,54
5112,62
14595,95
4620,88
7949,77
14250,77
43,68
2701,118
3895,98
4652,77
9698,50
14696,100
12750,27
2280,61
4307,42
4434,83
17,52
7579,22
14511,54
2257,77
3974,98
7317,22
6866,86
457,58
11054,65
10314,26
591,58
1912,79
12614,102
1931,92
12748,102
4386,42
14124,59
8312,21
14162,85
2305,10
10753,73
2269,87
2484,12
3518,3
7979,77
15018,6
3201,67
8837,108
9756,112
10265,26
14835,70
7271,27
5614,20
14117,19
12169,102
89,12
4337,42
9208,51
13000,30
11403,74
12234,2
2523,88
6998,97
11301,63
11898,53
13139,108
15131,68
13775,26
9446,108
4735,88
8527,67
13458,90
968,102
3659,63
6350,61
706,102
3879,103
12313,2
2354,23
12037,67
10540,86
8479,26
1555,47
4552,88
2969,67
9786,112
14147,19
13307,42
19,74
179,63
4367,42
14501,22
6581,115
11015,86
9955,106
192,2
15302,7
7960,77
4765,88
11771,69
11193,92
13488,90
9737,112
15174,7
6616,72
7180,114
3066,84
6118,61
7775,31
2205,21
4318,42
6357,77
12680,65
15033,4
2268,77
5470,25
15112,68
468,58
12600,72
15387,7
7393,114
11400,18
9807,63
13298,114
14196,32
3640,63
6405,10
4311,2
8485,83
6155,64
257,23
8760,22
2497,85
2638,24
12280,67
12294,2
26,90
11239,100
13795,102
11775,80
7210,114
1016,11
4290,64
13335,117
12972,65
8302,83
3591,63
6805,65
1254,68
6381,3
10996,86
5225,49
9473,79
11433,87
13150,108
4691,115
13328,114
15155,7
7161,114
315,85
4341,2
10072,115
10172,53
3267,87
287,23
12863,14
9373,77
6916,54
12997,14
2064,58
2224,47
11269,100
5565,90
7719,112
5437,90
7240,114
14642,95
3797,23
6018,72
3516,10
13279,114
2619,24
6270,27
7,90
2758,102
6388,19
2018,63
180,18
6729,83
13399,115
13036,63
7191,114
14593,95
3559,87
11814,21
11181,108
12953,65
5410,108
11979,88
12113,88
2254,47
15519,31
10775,63
6150,83
14672,95
217,21
6900,86
7619,2
9993,64
4322,2
12844,14
4308,67
3248,87
6421,88
1314,68
8234,46
13262,2
2045,58
15534,16
2392,102
5042,62
11566,40
14202,102
9565,31
3861,21
229,31
12457,19
7221,114
12543,22
13429,115
1046,24
9664,10
14623,95
10065,88
15220,85
9567,77
10049,80
8887,89
5918,83
9965,86
6930,86
8542,54
12260,84
4137,77
6291,99
13426,2
8264,46
4076,67
12631,27
6712,92
1082,68
2075,58
14752,101
14053,100
7730,112
402,43
13855,115
10756,63
14653,95
8722,106
57,45
13942,3
12651,90
1787,5
4564,6
9134,50
10865,6
13609,59
14965,101
3306,41
4266,83
1547,23
10129,86
2813,108
14604,95
8310,54
12663,100
13621,69
2105,58
6494,27
7514,83
6036,115
10786,63
11328,117
12637,84
4476,14
9643,85
12554,49
14271,70
10157,40
14995,101
14733,101
15330,91
2694,49
1605,85
1739,85
1954,10
2119,77
8024,77
11279,117
2435,54
38,45
12875,77
3909,88
12214,102
2310,59
832,54
1611,21
11052,74
1690,85
2332,77
4904,87
5138,25
3567,58
3727,47
2326,3
5540,5
6005,105
11767,56
12989,98
9752,112
12711,90
13759,16
9194,50
14938,101
11186,10
12165,102
15360,91
7495,83
649,54
1373,85
4983,87
9050,42
14976,115
6438,108
1727,88
11350,118
2222,67
13972,16
4495,40
6052,72
15004,101
1858,19
13479,83
6096,115
7827,34
466,54
1586,85
6445,3
600,54
1720,85
1324,85
4934,87
7491,85
9043,2
11255,2
7449,88
15388,45
3335,58
11695,8
13393,16
4353,41
14009,19
13747,19
9055,12
7525,83
14363,22
3485,2
6047,115
9390,2
5147,87
13705,22
1671,85
4885,87
6616,6
2428,27
4723,25
6803,98
8796,17
2689,68
12970,98
6082,72
3506,61
7042,114
4304,41
9175,50
13745,94
4603,108
12380,3
5542,64
4964,87
5776,2
5198,25
12803,106
13876,25
10808,77
3585,61
14798,71
9302,10
6380,116
5535,24
843,54
4158,108
9158,2
5952,83
5033,42
181,83
4207,0
4334,41
4279,105
4771,42
5167,42
5690,83
2319,97
12699,106
8700,26
9980,46
6377,3
7764,112
5403,26
10114,46
10959,101
5172,93
5769,83
14869,72
3823,10
4783,52
4984,42
3487,61
5903,83
2950,85
7821,94
9332,10
14566,71
873,54
9436,67
11604,24
4188,108
8651,26
872,58
8360,79
11648,30
6018,6
4581,39
4801,42
2982,10
9283,10
9066,12
5516,24
1146,68
11858,25
12436,2
5158,87
8809,90
4139,108
14714,90
13996,39
5336,93
4417,52
5933,83
6470,22
7053,114
1965,107
3651,24
6409,12
10220,4
4091,67
6345,27
14793,90
8681,26
14008,49
14531,90
12671,20
3130,29
7786,113
5750,83
8964,85
9575,10
5884,83
9313,10
5347,107
8124,108
3413,88
8520,108
3829,3
9137,13
10650,2
11434,84
13371,108
10336,108
9417,67
14087,49
8632,26
9656,83
14160,39
12589,72
10588,63
5963,83
13962,54
1527,2
2828,108
4567,117
4782,42
6439,12
6735,74
9930,63
1881,5
3364,88
425,25
7230,16
8455,100
11839,25
731,68
13598,6
14047,98
13064,72
7816,113
10562,10
3702,83
3674,21
2103,54
4398,52
6451,22
13154,2
13899,119
9026,37
13811,6
7047,16
13549,6
15192,78
14512,90
3111,29
398,43
10618,63
10981,115
2054,54
12233,36
2114,68
6742,90
12948,18
12966,72
9516,22
11414,118
4521,14
2327,68
12647,26
6425,90
7077,16
12726,90
7211,16
7935,47
15241,91
10805,10
13945,63
14079,63
1443,21
428,43
7797,113
12045,106
10386,63
2084,54
7433,65
9546,86
5358,107
3479,24
7034,90
8135,108
9150,86
9007,37
11277,5
12336,26
11422,100
5173,61
14292,63
481,54
2294,12
1339,85
10599,63
11136,2
12041,108
8625,120
8444,45
5323,5
7107,16
12756,90
12852,27
7241,16
13012,16
12098,90
13898,109
7024,18
12392,42
7681,22
10969,10
2507,12
3713,83
1156,85
5564,67
3511,97
7463,65
2771,58
2905,58
2991,61
7058,16
1769,19
4319,41
9231,51
13560,6
3687,30
5767,103
8909,0
13926,63
4845,87
1424,21
6699,83
1625,11
11207,3
6919,86
10945,3
6052,6
10050,90
10485,18
3902,103
11478,8
12639,40
13644,84
10605,83
4497,20
15536,106
1503,21
302,65
9039,2
9414,108
4240,98
11843,106
13937,77
1984,65
4620,90
6870,86
8345,79
15511,49
10318,26
4473,77
3155,61
1799,19
4349,41
2778,74
4390,42
8939,0
7387,83
12791,30
15527,30
119,65
193,14
2488,12
9293,3
10017,34
6949,86
7983,77
11399,65
6082,6
12056,106
4189,25
8322,68
4249,39
5443,19
2972,61
7275,27
10508,42
179,52
14928,115
9372,3
11873,106
4008,98
6658,58
8375,79
11188,3
4420,42
3883,103
306,12
2386,85
11068,86
11880,1
12317,2
13418,20
9323,3
15316,116
10047,34
3497,67
685,45
4818,88
5272,29
6507,10
15478,114
3962,103
2465,85
445,63
12396,2
4371,42
14390,72
8920,0
11993,63
9536,3
783,58
8696,26
8405,79
7964,77
15411,60
6063,6
10438,40
8404,83
2733,21
14469,72
10195,53
1437,30
3913,103
1893,44
9180,75
74,12
3348,65
10836,86
8379,26
4647,98
8043,77
9036,67
14022,26
12604,72
9811,63
12629,102
1509,54
3644,63
4401,42
8749,10
11982,25
12023,63
8592,26
89,27
2351,77
9304,3
1847,49
13203,108
14397,88
8464,26
13784,90
9890,63
4394,2
6560,115
6271,12
12377,2
4352,42
6969,54
9672,106
439,2
5169,35
11000,86
1798,49
15287,7
5072,102
5889,95
9841,63
4230,52
2659,85
6484,12
10176,53
15382,15
11750,25
9334,3
11273,100
14702,27
3071,29
15225,68
252,31
8860,83
9531,22
15362,73
1752,54
136,85
9214,86
10067,2
12266,26
1550,68
10246,4
7092,16
11729,87
2623,24
13184,108
14617,95
1828,49
6558,82
12559,19
7994,53
10685,51
10234,115
9871,63
11208,92
13040,63
14422,94
10046,64
8549,83
14582,83
7171,16
9251,89
12479,26
12957,65
13076,16
6372,77
12162,90
5752,103
1779,49
13441,114
5012,64
15072,95
13179,114
3160,84
1099,24
8105,42
166,85
326,74
9822,63
4574,67
1124,54
8459,45
1580,68
10359,2
7122,16
10405,118
1318,68
12848,14
6208,90
3952,20
1354,21
5046,62
4736,102
8783,105
6527,72
3332,83
233,31
3769,84
7225,114
10338,64
4801,2
13392,114
5310,108
12927,14
14181,45
9019,89
139,103
10937,100
5648,103
14285,102
13867,114
11451,92
11907,106
3190,84
1129,24
1726,14
3806,87
430,23
4604,67
4659,3
11524,45
10569,118
11233,98
7152,16
14454,59
14438,51
4479,72
5076,62
7330,22
8188,53
10557,0
14657,95
1080,24
10340,2
4951,67
7568,79
10400,16
4615,118
9486,90
2158,58
12043,88
12103,102
1299,68
13214,84
3310,41
2933,54
7281,22
6830,86
4469,0
11381,117
2308,2
6964,86
2817,108
4589,65
11541,106
4245,26
4768,67
9680,77
4625,18
2109,58
120,103
11314,63
5106,62
5629,103
7912,10
5818,2
7931,23
7943,114
8058,64
8218,53
11332,117
4486,88
4090,88
1110,24
3842,23
13421,10
14326,116
10941,3
11505,45
14687,95
2188,58
14562,100
1422,30
12702,30
5057,62
7311,22
8109,2
4699,88
2123,77
8028,77
9410,108
13840,115
1906,79
1061,24
7255,90
14234,5
14696,36
6394,27
11896,51
325,104
3699,95
2780,54
8088,64
13993,64
3437,95
2336,77
6811,86
4053,98
5228,65
11362,117
13836,80
14006,3
300,47
6015,115
7660,31
6545,115
6149,115
12090,38
11295,63
10717,86
5087,62
4987,87
3012,67
5799,2
8320,77
2676,118
11212,65
5466,58
8236,83
6436,64
10930,86
9689,31
10327,22
12889,98
7292,22
2366,77
2548,54
11392,117
11667,56
8009,77
14215,5
11699,8
9228,50
7690,31
15059,101
6575,115
9742,42
11996,2
13916,86
2317,77
3418,58
13019,100
9684,37
14851,71
9603,112
6086,72
13092,90
7641,31
98,74
762,54
6130,115
896,54
500,54
6290,67
7861,34
5546,64
4968,87
10436,86
5202,25
4624,48
2134,77
8039,77
15106,68
4448,88
7125,114
12648,49
14802,71
4783,41
9640,115
11467,8
13014,106
4565,84
11348,87
13863,88
2347,77
2462,27
13205,88
4163,40
7076,114
14853,9
4338,41
7671,31
6375,3
530,54
1650,85
2717,24
6509,3
4998,87
11159,13
15149,7
11484,69
7766,39
7155,114
13060,114
14832,71
5773,83
14073,19
47,85
11497,8
3376,74
4073,2
6067,72
11213,20
14570,71
14790,74
5,88
877,54
11799,80
14371,90
13631,88
5169,90
1633,37
3947,48
3510,10
5986,83
2992,84
53,21
9621,115
9318,77
1594,45
9070,12
1150,68
5028,87
14482,79
4119,10
13090,114
6474,22
11942,21
6097,72
7057,114
9352,75
8691,100
4236,6
14836,18
6278,83
12876,10
10727,103
7136,114
9987,64
5754,83
8968,85
9579,10
12397,12
14813,71
4496,118
5160,98
10468,108
11662,88
13737,46
1180,68
10440,46
5151,49
6527,6
11780,80
11157,101
13194,63
5833,83
5967,83
7087,114
12274,63
631,11
1259,68
8459,100
735,68
8140,54
4549,65
5509,107
5784,83
14884,72
6455,22
4402,52
13158,2
12184,25
4204,67
9030,37
11229,98
4479,6
13144,67
14517,49
6920,58
14181,100
13719,6
14456,39
15134,68
2582,54
5997,83
4426,116
8091,54
6929,26
1781,5
8209,46
9329,77
10859,6
5872,88
7443,18
13938,49
1918,10
1522,10
1978,61
8566,54
2721,105
11876,30
11155,4
3532,24
3873,88
4525,14
13174,67
9616,26
11259,98
14910,101
8440,100
13908,62
1258,85
8979,85
12663,36
7038,90
715,102
12547,90
6439,27
12866,72
6135,30
3604,21
3826,97
11925,43
9495,86
15381,73
12626,90
13278,16
105,35
1762,5
9109,50
12419,26
12942,67
13457,18
13613,6
14940,101
7028,18
15428,60
6577,82
1684,85
11904,105
4617,74
8547,54
10682,63
9185,45
6513,97
2922,108
9501,22
1540,77
8546,58
10874,4
12376,100
13692,6
13430,6
13898,111
7489,83
9440,42
1635,85
5427,64
5661,2
8727,106
2593,54
10499,63
11170,2
12873,88
2854,58
6780,37
14342,7
13368,67
1852,19
7339,31
15305,91
1714,85
1452,85
3463,58
973,87
12824,88
2805,58
12741,90
7519,83
14921,101
14981,115
1982,21
545,54
1665,85
4879,87
691,108
5476,77
11403,65
11725,116
6086,6
8789,58
4193,25
4298,41
11774,8
13673,6
2976,61
445,52
10899,10
12797,106
7428,86
10078,46
1220,85
4830,87
10802,77
11459,118
12854,88
2835,58
13511,92
2532,20
14323,7
4383,41
19,65
1695,85
2388,12
4152,108
1970,24
1433,85
4909,87
7696,22
9196,45
9795,108
13687,25
10431,26
2451,68
15496,49
5422,83
12387,63
9668,40
11426,62
5559,88
11519,24
4103,108
3184,67
4860,87
5801,116
10108,46
787,58
10672,88
1544,37
1148,37
11167,67
4818,90
6067,6
8670,120
15415,60
11598,24
2418,12
183,65
866,58
4080,97
10059,46
13837,90
4332,52
1842,81
9277,10
6324,12
4175,105
4364,41
9235,13
9395,2
9777,67
11549,24
12289,63
9570,3
2154,87
4890,87
8596,26
817,58
1851,49
555,58
13788,90
6097,6
6157,20
9894,63
14899,72
2712,85
6564,115
12428,114
2450,85
8675,26
10870,86
306,27
4084,108
3561,67
3165,67
10089,46
11049,88
768,58
13881,25
11544,30
14056,26
14263,90
4276,49
4362,52
5281,93
726,61
3462,61
12342,10
13522,92
12379,77
13103,108
15290,78
8626,26
5613,14
9338,3
3075,29
13818,90
10186,100
9924,63
8864,83
7890,106
5433,83
15493,114
8781,85
9378,75
12095,25
13189,67
11833,25
3853,67
12270,26
5229,24
8443,26
14348,26
5308,88
74,27
8577,26
798,58
1832,49
5569,92
6863,10
14105,39
4232,63
6997,10
15519,22
9875,63
9658,65
6256,12
370,25
8336,85
8892,37
3207,77
7596,46
8656,26
12166,90
8394,26
13983,49
9565,22
229,22
6497,74
3577,24
11863,25
9146,75
8607,26
13860,100
15076,68
1862,49
6592,82
6774,59
14135,39
5819,95
12772,21
9905,63
13253,65
617,23
400,25
4629,5
7929,47
14357,88
3135,29
5129,62
4807,48
5652,103
13751,49
1813,49
11555,30
8241,53
11455,92
12575,86
5770,95
6367,85
1133,24
4347,63
5352,107
9856,63
434,23
13728,65
11793,87
12464,26
13061,16
8873,37
13947,109
11751,90
14368,102
1892,49
6622,82
1388,21
1333,85
4717,10
7334,22
6883,86
7742,113
10909,3
9935,63
6740,74
11594,106
7901,106
12728,72
12802,21
10344,2
12961,14
7235,16
14216,4
8952,37
14458,32
6059,90
9488,17
5816,103
7547,22
6573,82
8271,53
9350,83
13505,114
6834,86
15530,22
13463,117
4523,117
5034,67
5557,108
11080,6
12912,14
3320,88
7186,16
12494,26
13554,6
6272,90
11184,100
105,90
13949,10
124,103
1418,21
5110,62
5633,103
705,85
2699,118
4034,74
8222,53
1114,24
12991,14
13414,117
9185,100
7399,16
1595,68
4427,5
7137,16
14028,10
203,103
10337,83
2632,64
7577,22
6517,42
13248,84
11448,65
11052,65
10312,26
